,Desc,Name,Price
24,"Sennheiser Wireless Bluetooth headphones with adaptive noise cancellation. Battery life up to 30 hours. Foldable into the case (included). As you can see from the photo, the ear pads are in great condition as it has hardly been used (as I have another Sennheiser and a Grado as well).",Sennheiser Wireless Bluetooth Headphone PXC 550,S$425
25,Warranty status: none  Pm for more details,Sennheiser HD800,"S$1,280"
26,CNY SPECIAL DEALS - 双喜临门!   Letting go of these two BNIB audio powerhouses -  Creative EMU-XM7 -> $180.00 Soundblaster X7 -> $400.00  EMU-XM7 + X7 -> ✨ $500.00 ✨ (you save $80.00!! 💲💲💲)  Belt tunes with succinct clarity at your next CNY gathering/ party and be the envy of your family and friends!   ,[CNY SPECIAL DEALS] Creative E-MU XM7 and Soundblaster 7,S$180
27,Hi! I'm looking to let go of my Sennheiser HD 6XX to someone who's actually going to use it.  》Bought it on MASSDROP and received it in December.  Opened it up to check on everything but have not used it at all. Condition: 10/10  Don't see myself using it any time soon so I'm letting it go.  》Does n,Sennheiser HD6XX,S$400
28,"Some Online Customer Reviews  ""Price quality is excellent I recommend you will not regret""  ""good quality of package. very nice quality of sound.""  ""Nice clean sound, excellent workmanship. for me personally is not the most comfortable ergonomics-the ears do not stick (who gave listen at all ok). I'",🆕🆒[Instock]Earphone Original QKZ DM200 3.5mm in ear Earphones HIFI Metal Stereo Earphones Super Bass noise isolating fone de ouvido,S$18.90
29,"Brand New In Box (Sealed). Active Noice Cancellation.  The HD 4.50BTNC Wireless offers just about everything music aficionados with active lifestyles could wish for: Bluetooth 4.0 technology, intuitive ease of use, exceptional wearing comfort and stunningly powerful sound. This elegantly minimalisti",Sennheiser HD 4.50 BTNC Wireless Headphone,S$289
30,"Item is In-stock, on hand. brand new sealed in box! while stocks last Colour choice i have black and brown color. Going for: $98.00 (cash or bank transfer on spot also can) Will be able to personally deliver to u Free of charge.  60 days warranty for item, worry-free purchase!  Original and authenti",*INSTOCK* Marshall Major 2 Bluetooth Wireless Headphone,S$1
31,"In good condition. Comes woth box and 2 cables.  Selling as im buying a different headphone, out of warranty. ",Sennheiser HD800s headphone,"S$1,650"
32,"Pre-loved Sennheiser over ear headphones in good condition. Full set includes wired volume controls for iOS, extra wire bundle and carrying case.  Limited edition brown and ivory colour.   #sennheiser #audiophile #overear #headphones #music ",Sennheiser Momentum 1 Over Ear Wired,S$120
33,"Condition Like new. Under warranty   Comes with box  This is the special edition that comes with a hardshell case  Tags: Bose, sony, qc35, wh-1000xm2, beats, airpods, mdr-1000x, sennheiser, klipsch, jabra, JBL, audiophile, bowers wilkins, bang olufsen, harman kardon",Plantronics Backbeat Pro 2 SE wireless noise canceling headphones,S$270
34,"Like new, hardly used - less than 48 hours of listening time.   Bought Jan 2017  600 ohm version, USA set.  RFS: Sounded too bright for my liking   Not: Shure, Audeze, Klipsch, Westone, Sennheiser",Beyerdynamic DT880 600ohm - Like new,S$220
35,Almost like new Used only once Comfortable Good quality Selling cos I prefer earbuds instead.,Sennheiser Momentum,S$200
36,Brand New Sennheiser CX 300 II Precision Earpiece   100% Authentic. Export Set (1 Month Seller Warranty)    Fixed Price: $40     Free Normal Mail (Seller will not be liable for loss mail).  Add $2 for Registered Courier.   Seller will mail out products within 48 hours upon receipt of payment. ,"Sennheiser CX 300-II Precision (Black, White Available)",S$40
37,Brand New Sennheiser CX 3.00 Earpiece (U.P. $89)  100% Authentic.  Export Set (1 Month Seller Warranty)   Fixed Price: $48   Free Normal Mail (Seller will not be liable for loss mail).  Add $2 for Registered Courier.   Seller will mail out products within 48 hours upon receipt of payment.   ,"Sennheiser CX 3.00 Authentic Export Set (Black, Red Available)",S$48
38,Audio,Sennheiser Momentum 1.0 Over Ear,S$100
39,Selling a new in box Sennheiser HD 598 Over-Ear Headphones - Ivory. Kept it storage because I have another HD 598 that I use daily. Selling because my headphone collection is getting out of hand.  Box will be opened to make sure the headphone is working 100%. 14 days personal warranty.  Non-negotiab,Sennheiser HD 598 Over-Ear Headphones - Ivory,S$150
